institute_short,program_name,program_duration,degree_short,quota,pool,category,is_preparatory,opening_rank,closing_rank
IIT-Kharagpur,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,OBC-NCL-PWD,0,0,9
IIT-Roorkee,Polymer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,ST,0,1,1098
IIT-Bombay,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-PWD,0,1,8
IIT-Bombay,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,OBC-NCL-PWD,0,1,3
IIT-Madras,Mechanical Engineering,4 Years,B.Tech,AI,Gender-Neutral,SC-PWD,1,1,12
IIT-Bombay,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,SC-PWD,0,1,2
IIT-Bombay,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,ST,0,1,15
IIT-Delhi,Electrical Engineering,4 Years,B.Tech,AI,Gender-Neutral,ST,0,1,112
IIT-Bombay,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,ST-PWD,0,1,1
IIT-Kanpur,Mathematics and Scientific Computing,4 Years,BSc,AI,Gender-Neutral,OBC-NCL-PWD,0,1,1
IIT-Bombay,Electrical Engineering,4 Years,B.Tech,AI,Gender-Neutral,SC-PWD,0,1,5
IIT-Madras,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-PWD,0,1,7
IIT-Delhi,Mechanical Engineering,4 Years,B.Tech,AI,Gender-Neutral,SC-PWD,1,1,1
IIT-Bombay,Metallurgical Engineering and Materials Science,4 Years,B.Tech,AI,Gender-Neutral,GEN-PWD,1,1,33
IIT-Guwahati,Chemical Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-PWD,0,1,94
IIT-Bombay,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-EWS-PWD,0,1,4
IIT-Bombay,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN,0,1,67
IIT-Bombay,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,SC,0,1,29
IIT-Indore,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,OBC-NCL-PWD,0,1,41
IIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,ST-PWD,1,1,1
IIT-Indore,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,ST-PWD,1,1,6
IIT-Roorkee,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,SC-PWD,0,1,6
IIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,ST-PWD,0,1,1
IIT-Kanpur,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,SC-PWD,0,1,5
IIT-Kanpur,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,OBC-NCL-PWD,0,2,9
IIT-Madras,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,OBC-NCL-PWD,0,2,8
IIT-Hyderabad,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,ST-PWD,0,2,2
IIT-Kanpur,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,ST-PWD,1,2,2
IIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,SC-PWD,1,2,2
IIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN,0,2,115
IIT-Kharagpur,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,ST,0,2,50
IIT-Kanpur,Aerospace Engineering,4 Years,B.Tech,AI,Gender-Neutral,OBC-NCL-PWD,1,2,20
IIT-Bombay,Mechanical Engineering,4 Years,B.Tech,AI,Gender-Neutral,SC-PWD,0,2,2
IIT-Kharagpur,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,SC-PWD,0,2,6
IIT-Indore,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,SC-PWD,1,2,6
IIT-Bombay,Electrical Engineering with M.Tech. in Microelectronics,5 Years,B.Tech + M.Tech (IDD),AI,Gender-Neutral,OBC-NCL-PWD,0,2,2
IIT-Guwahati,Electronics and Electrical Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-PWD,0,2,136
IIT-Kharagpur,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,ST-PWD,0,2,2
NIT-Calicut,Architecture,5 Years,B.Arch,HS,Gender-Neutral,GEN-PWD,0,2,484
IIT-Madras,Naval Architecture and Ocean Engineering,4 Years,B.Tech,AI,Gender-Neutral,ST,0,2,904
IIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-PWD,0,2,5
IIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-EWS-PWD,0,2,2
IIT-Indore,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,ST-PWD,0,2,2
IIT-Madras,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,ST-PWD,1,2,2
IIT-Kharagpur,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-EWS-PWD,0,3,7
IIT-Kharagpur,Computer Science and Engineering,4 Years,B.Tech,AI,Female-Only,GEN-PWD,0,3,102
IIT-Bombay,Civil Engineering,4 Years,B.Tech,AI,Gender-Neutral,ST-PWD,0,3,3
IIT-Kharagpur,Biotechnology and Biochemical Engineering,5 Years,B.Tech + M.Tech (IDD),AI,Gender-Neutral,ST,0,3,1166
IIT-Bombay,Chemical Engineering,4 Years,B.Tech,AI,Gender-Neutral,SC-PWD,0,3,3
IIT-Bombay,Electrical Engineering,4 Years,B.Tech,AI,Gender-Neutral,ST,0,3,92
IIT-Bombay,Electrical Engineering,4 Years,B.Tech,AI,Gender-Neutral,SC-PWD,1,3,3
IIT-Kanpur,Physics,4 Years,BSc,AI,Gender-Neutral,OBC-NCL-PWD,0,3,3
IIT-Kanpur,Mechanical Engineering,4 Years,B.Tech,AI,Gender-Neutral,ST-PWD,0,3,3
IIT-(BHU) Varanasi,Computer Science and Engineering,5 Years,B.Tech + M.Tech (IDD),AI,Gender-Neutral,OBC-NCL-PWD,0,3,48
IIT-Kanpur,Electrical Engineering,4 Years,B.Tech,AI,Gender-Neutral,ST-PWD,0,3,3
IIT-Kanpur,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-EWS-PWD,0,3,5
IIT-Bombay,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-EWS,0,3,19
IIT-Bombay,Computer Science and Engineering,4 Years,B.Tech,AI,Female-Only,SC-PWD,0,3,3
IIT-Hyderabad,Civil Engineering,4 Years,B.Tech,AI,Gender-Neutral,ST-PWD,0,3,3
IIT-Kharagpur,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,ST-PWD,1,3,4
IIT-Bombay,Aerospace Engineering,4 Years,B.Tech,AI,Gender-Neutral,SC-PWD,1,3,13
IIT-Madras,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,ST,0,3,37
IIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,SC-PWD,0,3,3
NIT-Karnataka-Surathkal,Computer Science and Engineering,4 Years,B.Tech,OS,Gender-Neutral,SC-PWD,0,3,3
IIT-Madras,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-EWS-PWD,0,3,3
IIT-Ropar,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-EWS-PWD,1,3,3
IIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,OBC-NCL-PWD,0,3,5
IIT-Bombay,Mechanical Engineering,4 Years,B.Tech,AI,Gender-Neutral,ST-PWD,0,3,3
IIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,ST,0,3,25
IIT-Guwahati,Civil Engineering,4 Years,B.Tech,AI,Gender-Neutral,ST-PWD,0,3,3
IIT-Roorkee,Computer Science and Engineering,4 Years,B.Tech,AI,Female-Only,GEN-EWS-PWD,1,3,3
IIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,SC,0,3,43
IIT-Kanpur,Mechanical Engineering,4 Years,B.Tech,AI,Gender-Neutral,OBC-NCL-PWD,0,4,4
IIT-(BHU) Varanasi,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,SC-PWD,1,4,4
IIT-Madras,Computer Science and Engineering,5 Years,B.Tech + M.Tech (IDD),AI,Gender-Neutral,GEN-PWD,0,4,4
IIT-Madras,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,SC-PWD,1,4,4
IIT-Kanpur,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-PWD,0,4,26
IIT-Delhi,Electrical Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-EWS-PWD,0,4,13
IIT-Ropar,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,SC-PWD,0,4,4
IIT-Delhi,Electrical Engineering,4 Years,B.Tech,AI,Gender-Neutral,ST-PWD,1,4,4
IIT-Kanpur,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,ST,0,4,55
IIT-Kharagpur,Agricultural and Food Engineering,4 Years,B.Tech,AI,Gender-Neutral,ST,1,4,352
IIT-Roorkee,Electronics and Communication Engineering,4 Years,B.Tech,AI,Gender-Neutral,SC-PWD,0,4,9
